method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cfm,10,300.389,299.742,301.089,297.9,False,25.3696,24.9526,25.7988,25.8454,False,0.6388,0.511578,0.83609,0.520919,0.480116,0.605754
cfm,11,301.933,301.3,302.517,299.3,False,26.3801,25.9473,26.794,26.9808,False,0.704267,0.532093,0.875382,0.557589,0.497479,0.671966
cfm,12,311.921,311.247,312.556,308.6,False,22.379,21.8708,22.9165,22.8814,True,0.671944,0.529339,0.850095,0.567575,0.49908,0.697257
cfm,13,310.77,310.139,311.349,307.75,False,24.9478,24.4543,25.4196,26.5363,False,0.708369,0.538843,0.873719,0.600099,0.504604,0.770836
cfm,14,299.192,298.534,299.768,297.5,False,23.9373,23.4603,24.3726,25.6494,False,0.708949,0.532306,0.872178,0.587834,0.508218,0.73812
cfm,15,299.526,298.915,300.193,297.6,False,25.1074,24.6595,25.5505,24.9299,True,0.633979,0.510846,0.817668,0.541443,0.489365,0.65395
cfm,16,300.934,300.286,301.577,300,False,24.9277,24.4734,25.3831,26.3441,False,0.653809,0.515257,0.841212,0.577542,0.502949,0.728139
cfm,17,304.669,304.036,305.294,303.75,False,24.3269,23.8605,24.8303,24.6598,True,0.660201,0.515287,0.851509,0.579305,0.500726,0.738659
cfm,18,297.532,296.898,298.193,296.1,False,27.2594,26.8677,27.6451,27.6121,True,0.636711,0.509275,0.831064,0.525422,0.480303,0.621472
cfm,19,292.801,292.156,293.524,291.9,False,26.3544,25.9457,26.7688,26.8497,False,0.642225,0.510619,0.834699,0.545274,0.494697,0.64014
cfm,20,300.838,300.21,301.571,299.7,False,24.9484,24.4899,25.4109,25.1586,True,0.623986,0.508324,0.82309,0.540117,0.486289,0.648158
cfm,21,303.291,302.669,303.919,303.5,True,25.2686,24.8002,25.7122,25.398,True,0.642771,0.511443,0.833455,0.569039,0.499238,0.716866
cfm,22,293.03,292.398,293.761,292,False,25.5824,25.1886,26.006,25.9946,True,0.596158,0.506255,0.750382,0.510963,0.47534,0.572829
cfm,23,302.447,301.855,303.09,302.6,True,24.6394,24.1861,25.1242,24.984,True,0.62636,0.507261,0.812852,0.583809,0.502956,0.748648
cfm,24,305.163,304.555,305.817,304.2,False,23.9887,23.5505,24.4511,24.3809,True,0.63252,0.511856,0.831041,0.561403,0.495212,0.702689
cfm,25,301.212,300.618,301.858,300.7,True,26.7949,26.3651,27.2188,26.8959,True,0.616335,0.507047,0.803543,0.533363,0.484523,0.638389
cfm,26,295.328,294.726,296.007,293.5,False,29.6527,29.2863,30.0029,29.5839,True,0.594033,0.507502,0.759979,0.481519,0.448091,0.541446
cfm,27,301.42,300.813,302.127,300.05,False,26.1151,25.6681,26.5502,26.7256,False,0.613621,0.506648,0.794698,0.533354,0.485474,0.635152
cfm,28,303.715,303.062,304.379,301.9,False,22.133,21.6641,22.5963,22.9351,False,0.656739,0.519775,0.849998,0.554365,0.49963,0.67345
cfm,29,302.945,302.296,303.62,302.7,True,21.7904,21.3233,22.2893,21.9861,True,0.653462,0.520447,0.841654,0.570576,0.501031,0.699303
cgan,0,304.757,304.085,305.386,302.75,False,23.3091,22.991,23.5493,25.0636,False,0.687392,0.513815,0.844983,0.685049,0.541009,0.831588
cgan,1,303.136,302.464,303.775,301.55,False,24.0063,23.6719,24.2669,25.504,False,0.683798,0.513734,0.84499,0.690221,0.535316,0.844764
cgan,2,309.039,308.217,309.547,308.01,False,23.156,22.9622,23.4869,24.0739,False,0.669333,0.51707,0.836049,0.672404,0.534761,0.825804
cgan,3,300.62,300.041,301.298,299.5,False,23.24,22.8455,23.4406,23.5951,False,0.6847,0.512612,0.852914,0.693446,0.519177,0.862458
cgan,4,303.063,302.352,303.566,302.4,True,25.9996,25.7795,26.3078,25.6718,False,0.681241,0.512186,0.846749,0.697389,0.545085,0.856301
cgan,5,301.511,300.916,302.204,300.3,False,22.4859,22.0645,22.6911,22.5485,True,0.687764,0.506241,0.859829,0.690369,0.517343,0.864971
cgan,6,298.168,297.697,298.636,296.75,False,25.0937,24.8001,25.2595,26.0087,False,0.684513,0.504874,0.845235,0.694338,0.523118,0.86364
