method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cgan,11,302.339,301.67,302.807,299.3,False,26.4352,26.2273,26.6913,26.9808,False,0.684126,0.503433,0.851186,0.706117,0.539656,0.858571
cgan,12,312.453,311.486,312.905,308.6,False,22.3535,22.2223,22.6569,22.8814,False,0.665005,0.519211,0.845541,0.659254,0.501211,0.826671
cgan,13,311.564,310.712,311.892,307.75,False,24.7661,24.525,25.1199,26.5363,False,0.673108,0.52281,0.846789,0.688947,0.502183,0.872654
cgan,14,299.326,298.801,299.902,297.5,False,23.9664,23.6573,24.154,25.6494,False,0.687296,0.509828,0.848062,0.693031,0.519455,0.857815
cgan,15,299.909,299.425,300.439,297.6,False,25.1624,24.8853,25.3465,24.9299,True,0.67845,0.504655,0.847352,0.692964,0.531822,0.855391
cgan,16,301.223,300.641,301.803,300,False,24.9202,24.6417,25.1419,26.3441,False,0.679591,0.5127,0.848055,0.695847,0.535764,0.851129
cgan,17,305.315,304.458,305.89,303.75,False,24.2226,23.9406,24.5625,24.6598,False,0.67991,0.509699,0.842246,0.691775,0.540163,0.836155
cgan,18,297.918,297.447,298.38,296.1,False,27.3405,27.1791,27.4893,27.6121,False,0.681032,0.498219,0.856905,0.697744,0.521308,0.879655
cgan,19,293.293,292.792,293.783,291.9,False,26.38,26.0732,26.5302,26.8497,False,0.698692,0.521367,0.849977,0.674933,0.518355,0.882105
cgan,20,301.302,300.727,301.852,299.7,False,24.9943,24.72,25.2129,25.1586,True,0.683141,0.505258,0.846196,0.693475,0.534772,0.850827
cgan,21,303.884,303.112,304.417,303.5,True,25.2418,24.9798,25.5629,25.398,True,0.680154,0.513829,0.844667,0.698792,0.546672,0.849783
cgan,22,293.455,292.954,293.956,292,False,25.6582,25.3446,25.8294,25.9946,False,0.684867,0.506628,0.848474,0.681587,0.514544,0.877522
cgan,23,302.886,302.222,303.484,302.6,True,24.6162,24.334,24.876,24.984,False,0.682667,0.514701,0.845127,0.692935,0.545535,0.84632
cgan,24,305.984,305.156,306.532,304.2,False,23.8605,23.5872,24.1729,24.3809,False,0.677757,0.512152,0.839347,0.692924,0.545072,0.832456
cgan,25,301.718,301.108,302.182,300.7,False,26.8728,26.6988,27.1082,26.8959,True,0.6825,0.506616,0.849501,0.700291,0.53625,0.86252
cgan,26,295.98,295.499,296.336,293.5,False,29.6644,29.5591,29.7895,29.5839,True,0.700023,0.512293,0.876295,0.691786,0.499252,0.907612
cgan,27,301.953,301.333,302.464,300.05,False,26.1773,25.9795,26.4268,26.7256,False,0.679537,0.509973,0.849216,0.69139,0.541285,0.84978
cgan,28,304.401,303.709,305.118,301.9,False,22.0116,21.6438,22.2045,22.9351,False,0.686313,0.520965,0.851814,0.682192,0.523389,0.840346
cgan,29,303.693,302.995,304.389,302.7,False,21.6864,21.3116,21.8824,21.9861,False,0.690908,0.518308,0.859908,0.68709,0.519635,0.84977
cnf,0,304.044,303.394,304.708,302.75,False,23.4507,22.9513,23.9632,25.0636,False,0.646863,0.51277,0.858982,0.560386,0.500968,0.706742
cnf,1,302.541,301.918,303.18,301.55,False,24.13,23.7,24.5944,25.504,False,0.648659,0.516759,0.847957,0.578298,0.502344,0.752922
cnf,2,308.153,307.558,308.787,308.01,True,23.3315,22.8485,23.8214,24.0739,False,0.641372,0.511875,0.851057,0.578406,0.500366,0.742297
cnf,3,299.84,299.199,300.521,299.5,True,23.2577,22.7843,23.7403,23.5951,True,0.634992,0.509733,0.8399,0.5531,0.501824,0.681031
cnf,4,302.406,301.815,303.068,302.4,True,25.9644,25.4984,26.4333,25.6718,True,0.637561,0.510397,0.842305,0.571317,0.503027,0.752397
cnf,5,300.683,300.024,301.325,300.3,True,22.4965,21.9893,23.0173,22.5485,True,0.63988,0.514791,0.840032,0.558168,0.501,0.685537
cnf,6,297.607,296.985,298.266,296.75,False,25.0151,24.5367,25.5076,26.0087,False,0.638752,0.509349,0.841939,0.582408,0.503951,0.774831
cnf,7,300.609,300,301.251,300,True,24.4953,23.9954,24.9817,25.4046,False,0.654405,0.513705,0.858367,0.587294,0.504073,0.771233
cnf,8,299.49,298.863,300.177,298,False,25.9308,25.4508,26.3829,27.0311,False,0.648532,0.515216,0.85422,0.557128,0.502956,0.689902
cnf,9,298.166,297.56,298.862,296.95,False,23.8882,23.4034,24.3549,24.6177,False,0.636208,0.508363,0.851349,0.554903,0.500762,0.697104
cnf,10,300.238,299.639,300.876,297.9,False,25.4011,24.9781,25.8268,25.8454,False,0.6829,0.570504,0.844343,0.532094,0.497639,0.60838
cnf,11,301.859,301.203,302.597,299.3,False,26.3711,25.9329,26.8549,26.9808,False,0.734649,0.579771,0.883006,0.563907,0.499696,0.708439
cnf,12,311.931,311.338,312.537,308.6,False,22.4882,21.9944,23.0245,22.8814,True,0.712224,0.54685,0.879413,0.572085,0.497379,0.749496
cnf,13,310.843,310.178,311.588,307.75,False,25.0173,24.5663,25.4799,26.5363,False,0.709588,0.537395,0.880666,0.580113,0.496155,0.787908
cnf,14,298.94,298.302,299.535,297.5,False,23.971,23.4966,24.4943,25.6494,False,0.706624,0.542471,0.877717,0.590289,0.505258,0.762399
cnf,15,299.295,298.73,299.946,297.6,False,25.132,24.6756,25.5992,24.9299,True,0.655931,0.5258,0.846186,0.545237,0.501972,0.654413
cnf,16,300.733,300.079,301.414,300,False,24.9426,24.4717,25.4214,26.3441,False,0.648533,0.513344,0.858668,0.57551,0.50445,0.741388
cnf,17,304.523,303.903,305.165,303.75,False,24.3685,23.9062,24.8267,24.6598,True,0.655152,0.518435,0.849544,0.57212,0.500892,0.747252
cnf,18,297.292,296.712,297.914,296.1,False,27.2944,26.8571,27.7268,27.6121,True,0.666257,0.550907,0.824288,0.532884,0.498879,0.60739
cnf,19,292.498,291.871,293.166,291.9,True,26.343,25.8966,26.8038,26.8497,False,0.661579,0.516022,0.858356,0.563446,0.502813,0.724752
cnf,20,300.612,300.01,301.28,299.7,False,24.987,24.5615,25.4477,25.1586,True,0.643228,0.515671,0.835256,0.540378,0.500421,0.640288
cnf,21,303.125,302.516,303.793,303.5,True,25.2815,24.8172,25.7992,25.398,True,0.638287,0.513883,0.834924,0.561824,0.500745,0.720915
cnf,22,292.633,292.046,293.238,292,False,25.5788,25.1567,26.0383,25.9946,True,0.614855,0.508967,0.772487,0.530554,0.499317,0.611529
cnf,23,302.238,301.627,302.884,302.6,True,24.6631,24.1906,25.0988,24.984,True,0.621215,0.50943,0.825786,0.577554,0.5033,0.752563
cnf,24,305.053,304.445,305.735,304.2,False,24.017,23.5778,24.494,24.3809,True,0.636593,0.511276,0.835339,0.557549,0.499473,0.701727
cnf,25,300.993,300.422,301.636,300.7,True,26.8182,26.3855,27.2398,26.8959,True,0.626117,0.514484,0.795394,0.534298,0.498213,0.61601
cnf,26,295.079,294.625,295.578,293.5,False,29.7396,29.3083,30.1719,29.5839,True,0.681831,0.570062,0.772114,0.512789,0.477863,0.549585
cnf,27,301.261,300.686,301.905,300.05,False,26.126,25.7042,26.5405,26.7256,False,0.633807,0.517444,0.807143,0.535643,0.500282,0.626222
cnf,28,303.577,302.928,304.202,301.9,False,22.1057,21.6494,22.6064,22.9351,False,0.667042,0.532151,0.856928,0.553044,0.500338,0.689946
